Rider_normalized,Team,Year,Conditions,Track Conditions,Humidity_num,GroundTemp_num,proba_podio
Oliveira,Red Bull KTM Tech 3,2019,Partly Cloudy,Dry,33.0,49.0,0.14666666666666667
Zarco,Red Bull KTM Factory Racing,2019,Partly Cloudy,Dry,33.0,49.0,0.06
Oliveira,Red Bull KTM Tech 3,2020,Clear,Dry,46.0,28.0,0.58
Miller,Pramac Racing,2020,Clear,Dry,46.0,28.0,0.54
Morbidelli,Petronas Yamaha SRT,2020,Clear,Dry,46.0,28.0,0.52
Espargaro,Red Bull KTM Factory Racing,2020,Clear,Dry,46.0,28.0,0.03
Nakagami,LCR Honda IDEMITSU,2020,Clear,Dry,46.0,28.0,0.03666666666666667
Dovizioso,Ducati Team,2020,Clear,Dry,46.0,28.0,0.32666666666666666
Bradl,Repsol Honda Team,2020,Clear,Dry,46.0,28.0,0.06333333333333334
Espargaro,Aprilia Racing Team Gresini,2020,Clear,Dry,46.0,28.0,0.01
Marquez,Repsol Honda Team,2020,Clear,Dry,46.0,28.0,0.09
Zarco,Esponsorama Racing,2020,Clear,Dry,46.0,28.0,0.043333333333333335
Viñales,Monster Energy Yamaha MotoGP,2020,Clear,Dry,46.0,28.0,0.02666666666666667
Rossi,Monster Energy Yamaha MotoGP,2020,Clear,Dry,46.0,28.0,0.10666666666666667
Crutchlow,LCR Honda CASTROL,2020,Clear,Dry,46.0,28.0,0.04666666666666667
Quartararo,Petronas Yamaha SRT,2020,Clear,Dry,46.0,28.0,0.3227539799770228
Rins,Team SUZUKI ECSTAR,2020,Clear,Dry,46.0,28.0,0.08666666666666667
Petrucciducati,Ducati Team,2020,Clear,Dry,46.0,28.0,0.1
Kalliored,Red Bull KTM Tech 3,2020,Clear,Dry,46.0,28.0,0.35
Rabatesponsorama,Esponsorama Racing,2020,Clear,Dry,46.0,28.0,0.023333333333333334
Quartararo,Monster Energy Yamaha MotoGP,2021,Clear,Dry,30.0,42.0,0.09333333333333334
Oliveira,Red Bull KTM Factory Racing,2021,Clear,Dry,30.0,42.0,0.12
Mir,Team SUZUKI ECSTAR,2021,Clear,Dry,30.0,42.0,0.16
Zarco,Pramac Racing,2021,Clear,Dry,30.0,42.0,0.22
Binder,Red Bull KTM Factory Racing,2021,Clear,Dry,30.0,42.0,0.2633333333333333
Miller,Ducati Lenovo Team,2021,Clear,Dry,30.0,42.0,0.6833333333333333
Espargaro,Aprilia Racing Team Gresini,2021,Clear,Dry,30.0,42.0,0.06333333333333334
Viñales,Monster Energy Yamaha MotoGP,2021,Clear,Dry,30.0,42.0,0.26
